host_response_time,host_response_rate,host_acceptance_rate,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1416,4,4.21,4,4.64,4.71,4.5,3.79,t,1.88
N/A,N/A,N/A,t,Entire rental unit,Entire home/apt,5,1 bath,3,3,7740.8,4,5,4.75,4.25,4.25,5,4,f,0.44
within an hour,0.75,0.67,t,Entire rental unit,Entire home/apt,10,2 baths,3,3,8024,4.5,4.5,4,4,4.5,5,4,f,0.42
within a few hours,1,1,t,Private room in casa particular,Private room,2,1 shared bath,,1,944,5,5,5,5,5,4.67,5,f,0.97
within a few hours,0.89,0.6,t,Entire condo,Entire home/apt,2,1 bath,1,1,1699.2,4.8,4.9,4.3,5,5,5,4.4,f,1.15
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,1,1,2208.96,5,5,5,5,5,4.86,5,f,0.99
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,,1,1585.92,4.56,4.64,4.2,4.76,4.84,4.88,4.36,t,2.78
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,,4002.56,4.77,4.92,4.69,4.92,4.92,5,4.77,f,1.53
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,2152.32,4.5,4.56,4.5,4.56,4.83,4.89,4.61,t,1.96
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,6,1 bath,2,3,2416.64,4.11,4.21,4.05,4.58,4.74,4.11,4.21,t,2.26
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1888,4.6,4.6,4.64,4.84,4.76,4.88,4.24,t,2.76
within a day,0.5,0.5,f,Entire rental unit,Entire home/apt,2,1 bath,1,1,1416,5,4.5,4.5,5,5,4.5,4,f,0.35
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1699.2,4.82,4.91,4.64,5,5,4.45,4.45,f,1.78
N/A,N/A,N/A,t,Entire rental unit,Entire home/apt,4,1 bath,2,3,1869.12,4.63,4.88,4.5,4.88,4.63,4.88,4.5,t,0.94
within an hour,1,0.86,t,Entire rental unit,Entire home/apt,2,1 bath,1,2,1321.6,4.75,5,5,5,5,5,5,f,0.47
within a few hours,0.67,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1416,4.33,4.5,4.33,4.5,4.67,4.5,4.33,f,0.71
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,3,1 bath,1,1,1378.24,4.8,4.7,4.6,4.8,4.9,4.5,4.2,t,1.21
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,1,1,1170.56,5,5,5,5,5,5,4.67,f,1.27
within a day,0.5,0.69,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1283.84,4.43,4.3,4.09,4.61,4.57,4.52,4.3,f,2.46
N/A,N/A,N/A,t,Entire loft,Entire home/apt,4,1 bath,,2,2001.28,4.86,5,4.86,4.71,5,4.86,4.71,t,0.8
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1321.6,4.59,4.79,4.56,4.91,4.88,4.88,4.41,t,3.81
within an hour,0.9,1,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1699.2,4.56,4.74,4.24,4.71,4.79,4.74,4.56,t,3.76
within an hour,1,0.98,t,Entire condo,Entire home/apt,3,1.5 baths,1,2,1755.84,4.81,4.89,4.97,4.97,5,4.86,4.62,f,4.3
within a few hours,0.8,0.53,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1038.4,5,5,4.94,5,4.88,5,4.88,f,1.89
within an hour,1,0.97,t,Private room in rental unit,Private room,2,1 private bath,,1,1019.52,4.94,4.94,4.97,4.97,4.97,4.97,4.82,f,4.9
within an hour,1,0.83,t,Private room in casa particular,Private room,2,1.5 shared baths,,1,1510.4,5,5,5,4.83,4.67,5,4.67,f,0.71
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,2114.56,3,3.43,2.71,4.43,3.86,4.14,3.14,t,1.36
N/A,N/A,N/A,t,Entire rental unit,Entire home/apt,2,1.5 baths,,1,1340.48,4.72,4.73,4.84,4.84,4.93,4.84,4.6,f,5.09
within an hour,1,0.91,t,Private room in rental unit,Private room,2,1 private bath,,1,1189.44,4.95,4.95,4.84,4.84,4.84,4.84,4.95,f,4.38
within an hour,1,0.89,f,Entire rental unit,Entire home/apt,2,1 bath,1,1,1151.68,4.91,4.91,4.96,4.91,4.87,4.78,4.87,f,2.88
